stt,title,dicrector_id,director,cast,country,release_year,rating,số đánh giá,content rating,listed_in,CIRCULATE,target,content_rating
34,Cô Hầu Gái,D020,Derek Nguyen,"Nhung Kate, Jean-Michel Richaud",Việt Nam,2016,5.6,982,T18,"Drama, Horror, Romance",release,Low,8
35,LIVE: Phát Trực Tiếp,D062,Khương Ngọc,"Ngọc Phước, Quốc Khánh",Việt Nam,2023,5.3,31,T18,Horror,release,Low,8
37,Khế Ước Bán Dâu,D079,Lê Văn Kiệt,"NSND Trung Anh, NSND Minh Châu",Việt Nam,2025,7.4,15,T18,"Drama, Horror",release,Low,8
38,TRÀ,D002,Lê Hoàng,"Việt Hương, NSƯT Trương Minh Quốc Thái, Đoàn Trinh",Việt Nam,2024,4.2,42,T18,"Psychology, Emotion",release,Low,8
40,Dòng Máu Anh Hùng,D016,Charlie Nguyễn,"Johnny Trí Nguyễn, Ngô Thanh Vân",Việt Nam,2007,6.8,2500,T18,"Action, Drama, History",release,Low,8
41,Thiên Thần Hộ Mệnh,D162,Victor Vũ,"Trúc Anh, Amee, Salim",Việt Nam,2021,5.6,531,T18,"Drama, Horror, Mystery",release,Low,8
42,Sài Gòn Trong Cơn Mưa,D074,Lê Minh Hoàng,"Avin Lu, Hồ Thu Anh",Việt Nam,2020,6.5,125,T16,"Drama, Romance",release,Low,6
44,Mùa Hè Chiều Thẳng Đứng,D144,Trần Anh Hùng,"Trần Nữ Yên Khê, Lê Khanh","Việt Nam, Pháp, Đức",2000,7.2,4200,T13,"Drama, Romance",release,Low,5
45,Làm Giàu Với Ma,D106,Nguyễn Nhật Trung,"Hoài Linh, Tuấn Trần, Diệp Bảo Ngọc",Việt Nam,2024,5.9,125,T16,"Comedy, Horror",release,Low,6
46,Nụ Hôn Bạc Tỷ,D003,Thu Trang,"Thu Trang, Đoàn Thiên Ân, Lê Xuân Tiền",Việt Nam,2025,6.6,47,T13,Comedy,release,Low,5
49,Skin of Youth,D007,Ash Mayfair,"Tran Quan, Vo Dien Gia Huy","Việt Nam, Singapore, Nhật Bản, Mỹ",2025,4.9,13,Not rated,Drama,release,Low,3
51,Đất Rừng Phương Nam,D108,Nguyễn Quang Dũng,"Hạo Khang, Tuấn Trần, Trấn Thành",Việt Nam,2023,6.2,436,T13,"Adventure, Drama",release,Low,5
52,Chiếm Đoạt,D140,Thắng Vũ,"Miu Lê, Lãnh Thanh, Phương Anh Đào",Việt Nam,2023,5.3,134,T18,"Drama, Thriller",release,Low,8
53,Lôi Báo,D162,Victor Vũ,"Cường Seven, Nhã Phương",Việt Nam,2017,5.4,196,T16,"Action, Sci-Fi",release,Low,6
55,Chuyện Ma Gần Nhà,D146,Trần Hữu Tấn,"Mạc Can, Vân Trang",Việt Nam,2022,4.3,306,T18,Horror,release,Low,8
56,Chị Chị Em Em 2,D165,Vũ Ngọc Đãng,"Ngọc Trinh, Minh Hằng",Việt Nam,2023,5.0,192,T18,Drama,release,Low,8
57,Thất Sơn Tâm Linh,D040,Hàm Trần,"Hoàng Yến Chibi, Quang Tuấn",Việt Nam,2019,5.5,279,T18,"Horror, Thriller",release,Low,8
59,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,D162,Victor Vũ,"Thịnh Vinh, Trọng Khang, Thanh Mỹ",Việt Nam,2015,7.4,1600,P,Drama,release,Low,4
60,Mùi Cỏ Cháy,D099,Nguyễn Hữu Mười,"Tô Tuấn, Lê Văn Thơm",Việt Nam,2011,6.9,322,Not rated,"Drama, War",release,Low,3
61,Bóng Ðè,D079,Lê Văn Kiệt,"Quang Tuấn, Lâm Thanh Mỹ, Mai Cát Vi",Việt Nam,2022,4.6,341,T16,Horror,release,Low,6
62,Người Mặt Trời,D142,Timothy Linh Bùi,"Thuận Nguyễn, Trần Ngọc Vàng",Việt Nam,2023,5.3,50,T18,"Action, Fantasy",release,Low,8
64,Bẫy Ngọt Ngào,D029,Đinh Hà Uyên Thư,"Bảo Anh, Minh Hằng, Diệu Nhi",Việt Nam,2022,4.6,149,T18,,release,Low,8
66,Mắt Biếc,D162,Victor Vũ,"Trần Nghĩa, Trúc Anh",Việt Nam,2019,6.9,1400,T16,"Drama, Romance",release,Low,6
67,Ba mùa,D143,Tony Bùi,"Nguyễn Ngọc Hiệp, Đơn Dương, Harvey Keitel","Việt Nam, Mỹ",1999,7.2,3400,T13,Drama,release,Low,5
68,Siêu Trộm,D040,Hàm Trần,"Kate Nhung, Thanh Mỹ, Petey Majik Nguyễn",Việt Nam,2001,6.8,820,T18,"Action, Comedy, Crime",release,Low,8
69,Kẻ Giả Danh,D019,Daniel Goldhaber,"Madeline Brewer, Patch Darragh",Mỹ,2018,4.8,175,T18,"Horror, Mystery, Thriller",release,Low,8
70,Chị Dâu,D062,Khương Ngọc,Hong DaoTrung DungViet Huong,Việt Nam,2024,7.3,134,T16,"Drama, Romance, Adult",release,Low,6
72,Thưa Mẹ Con Đi,D155,Trịnh Đình Lê Minh,"Lãnh Thanh, Võ Điền Gia Huy",Việt Nam,2019,7.3,1200,C18,"Drama, Romance",release,Low,1
76,Kẻ Ẩn Danh,D152,Trần Trọng Dần,"Kiều Minh Tuấn, Mạc Văn Khoa",Việt Nam,2023,5.4,199,T18,Action,release,Low,8
77,Ròm,D151,Trần Thanh Huy,"Tran Anh Khoa, Anh Tu, Jayvee Mai The Hiep, Mai Tran, Wowy, Thanh Tu, 
Thien Kim, Hai Trieu, Lanh Thanh, 
Tony Nguyen, Thi Thanh Huyen Hoang",Việt Nam,2019,6.8,712,T18,"Psychological Drama, Crime, Drama",release,Low,8
79,Cu Li Không Bao Giờ Khóc,D121,Phạm Ngọc Lân,"Minh Chau
Mrs. Nguyen
Xuan An Ngo
Quang
Ha-Phuong
Vân
Kieu-Trinh
Aquarium shop owner
Phí-Linh
Jewellery's staff
Cao Sang
Quang's best friend
Hoàng-Hà
Waiter in Paradise Club
Hien Thanh
Mrs. Sinh - Quang's mother
Van Thai Nguyen
Quang's Family Patriarch
Quôc-Tuân
Former collegue
Thuong Tin
Mr. Sinh",Việt Nam,2024,6.6,160,T16,Drama,release,Low,6
80,"Hot Boy Nổi Loạn và Câu Chuyện Về Thằng Cười, Cô Gái Điếm và Con Vịt",D165,Vũ Ngọc Đãng,"Manh Hai Luong
Lam
Vinh Khoa Ho
Khoi
Linh Son Nguyen
Dong(as Linh Son)
Phuong-Thanh
Hanh
Hieu Hien
Cuoi
La Quoc Hung
Long",Việt Nam,2011,6.6,800,Not rated,"Drama, Romance",release,Low,3
81,Bridge of Destiny,D100,Nguyễn Hữu Tiến,"Bình Lý, Trần Ngọc Vàng, Trịnh Xuân Nhãn, YaYa Trương Nhi, Hữu Tài, Thanh Trúc",Việt Nam,2020,5.9,86,T18,Drama,release,Low,8
82,Yêu Nhầm Bạn Thân,D108,Nguyễn Quang Dũng,"Tran Ngoc Vang, Kaity Nguyen",Việt Nam,2025,6.1,29,T13,"Comedy, Romance",release,Low,5
83,Dưới Đáy Hồ,D146,Trần Hữu Tấn,"Thanh Duy, Nguyen Huu Tien, Mac Trung Kien",Việt Nam,2025,6.3,13,T18,"Horror, Thriller",release,Low,8
84,Siêu Nhân X,D108,Nguyễn Quang Dũng,"Diep Lam Anh, Viet Anh, Thanh Hang",Việt Nam,2015,4.4,40,Not rated,"Action, Comedy, Drama",release,Low,3
87,Face Off 2,D084,Lý Hải,"Hua Minh Dat, Ly Hai, Vo Dinh Hieu",Việt Nam,2016,4.6,112,T16,"Action, Adventure, Comedy",release,Low,6
88,Đỉnh Mù Sương,D125,Phan Anh,"Peter Pham, Truong Dinh Hoang, Simon Kook",Việt Nam,2020,5.7,93,T18,Action,release,Low,8
89,Người Bất Tử,D162,Victor Vũ,"Lâm Vissay, Ngoc Diep, Maurice Nash",Việt Nam,2018,6.6,364,T18,"Fantasy, Horror, Thriller",release,Low,8
90,Bố Già,D150,Trấn Thành,"Tran Thanh, Tuan Tran, Ngan Chi",Việt Nam,2021,6.6,1200,T13,"Comedy, Drama, Family",release,Low,5
91,Tiệc Trăng Máu,D108,Nguyễn Quang Dũng,"Thai Hoa, Duc Thinh, Hong Anh",Việt Nam,2020,7.4,647,T18,"Comedy, Drama, Thriller",release,Low,8
92,Em Chưa 18,D077,Lê Thanh Sơn,"Alex, Chau Bui, Jackie, Katy Nguyen",Việt Nam,2017,6.5,722,T16,"Comedy, Drama, Romance",release,Low,6
93,"Đào, Phở và Piano",D128,Phi Tiến Sơn,"Doan Quoc Dam, Tuan Hung, Cao Thi Thuy Linh",Việt Nam,2024,5.6,229,T13,"Drama, Romance, War",release,Low,5
94,Ngôi Nhà Bươm Bướm,D050,Huỳnh Tuấn Anh,"Thanh Loc, Quang Minh, Lien Binh Phat",Việt Nam,2019,6.3,105,T18,"Drama, Romance",release,Low,8
95,Muốn Nhìn Thấy Em,D132,Si Mau,"Nguyen Ba Vinh, Vuong Thien Hac, Tran Vu Duc Duy",Việt Nam,2022,7.1,58,Not rated,"Drama, Romance,TV Series",release,Low,3
96,Kế Hoạch Đổi Chồng,D148,Trần Nhân Kiên,"Hoang Yen Chibi, Quang Dang, Truong Thanh Long",Việt Nam,2018,5.7,44,T16,"Drama, Romance",release,Low,6
98,Cậu Vàng,D154,Trần Vũ Thuỷ,"Huu Chau, Bang Di, Việt Liên, Will, Chieu Xuan",Việt Nam,2021,3.382,82,T16,Drama,release,Low,6
99,Lửa Phật,D022,Dustin Nguyễn,"Dustin Nguyen, Veronica Ngo, Roger Yuan",Việt Nam,2013,5.2,570,T18,"Action, Adventure, Drama",release,Low,8
102,Kẻ Ăn Hồn,D146,Trần Hữu Tấn,"Ly Hong An, Hoang Ha, Vo Dien Gia Huy",Việt Nam,2023,5.5,186,T18,Horror,release,Low,8
103,Tro Tàn Rực Rỡ,D011,Bùi Thạc Chuyên,"Hoang Le Cong, Bao Ngoc Doling Juliet, Phuong Anh Dao",Việt Nam,2022,6.9,371,T16,Drama,release,Low,6
104,Nhà Bà Nữ,D150,Trấn Thành,"Huynh Uyen An, Le Giang, Ngoc Giau",Việt Nam,2023,6.1,605,T16,"Comedy, Drama",release,Low,6
105,Chàng Vợ Của Em,D016,Charlie Nguyễn,"Phuong Anh Dao, Thai Hoa, Vi Van Hua",Việt Nam,2018,7.1,348,T16,"Comedy, Drama, Romance",release,Low,6
106,Cô Gái Đến Từ Hôm Qua,D127,Phan Gia Nhật Linh,"Le Ha Anh, Hoang Yen Chibi, Ngo Kien Huy",Việt Nam,2017,6.9,360,P,"Comedy, Romance",release,Low,4
107,Đèn Âm Hồn,D043,Hoàng Nam,"Hoang Kim Ngoc, Quang Tèo, Phu Thinh",Việt Nam,2025,5.5,57,T18,"Horror, Mystery",release,Low,8
108,Tết Ở Làng Địa Ngục,D146,Trần Hữu Tấn,"Quang Tuan, Lan Phuong Nguyen, Hanh Thuy Ngo Pham",Việt Nam,2023,6.2,114,T16,"Horror, Mystery, Thriller, TV Series",release,Low,6
110,Thang Máy,D120,Peter Mourougaya,"Yu Duong, Mai Bich Tram, Tong Yen Nhi",Việt Nam,2020,3.2,110,T18,Horror,release,Low,8
111,Az almafa virága,D021,"Dóra Szücs, Hungary","Nari Nguyen, Balázs Koltai-Nagy, Dzhuliya Lam","Việt Nam, Hungary",2023,4.6,614,Not rated,Romance,release,Low,3
112,Người Tình,D081,Lưu Huỳnh,"Ha Viet Dung, Vu Duc Hai, Xuan Phuc",Việt Nam,2022,7.0,20,T18,"Comedy, Romance",release,Low,8
114,Cuốc Xe Nửa Đêm,D105,Nguyễn Nguyên Hoàng,"Hoang Yen Chibi, Doan Quoc Dam, Le Giang",Việt Nam,2020,5.4,9,Not rated,"Drama, Action",release,Low,3
116,Mẹ Chồng,D085,Lý Minh Thắng,"Thanh Hang, Ngoc Quyen, Lan Khue",Việt Nam,2017,5.7,173,T16,Drama,release,Low,6
118,Nhà Cây,D159,Trương Minh Quý,"Uyen An, Khanh Le, Thuan Nguyen","Việt Nam, Singapore, Pháp, Đức, Trung Quốc",2019,6.4,254,Not rated,"Documentary, Sci-Fi",release,Low,3
119,Thiên Mệnh Anh Hùng,D162,Victor Vũ,"Huynh Dong, Midu, Khuong Ngoc",Việt Nam,2012,6.2,896,T16,"Action, Drama, History",release,Low,6
120,Em là chàng trai của anh,D132,Si Mau,"Do Hoang Duong, Nam Dinh Vo, Ngoc Phuoc",Việt Nam,2021,6.0,44,Not rated,"Comedy, Drama, Romance, TV Series",release,Low,3
121,Quỷ Cẩu,D082,Lưu Thành Luân,"Vân Dung, Mie, Hanh Thuy Ngo Pham",Việt Nam,2023,5.2,253,T18,Horror,release,Low,8
122,Cánh Đồng Bất Tận,D107,Nguyễn Phan Quang Bình,"Tang Thanh Ha, Do Thi Hai Yen, Ninh Duong Lan Ngoc",Việt Nam,2010,7.1,416,Not rated,"Drama, Romance",release,Low,3
123,Điều Ước Cuối Cùng,D032,Đoàn Sĩ Nguyên,"Quynh Ly, Hoang Ha, Avin Lu",Việt Nam,2025,6.8,8,T16,Comedy,release,Low,6
124,Saigon Kiss,D095,Hồng Anh,"Nguyen Vu Truc Nhu, Thuong Le, Ni Le","Việt Nam, Úc, Đức",2024,6.7,32,Not rated,"Short, Drama",release,Low,3
125,Dạ Cổ Hoài Lang,D108,Nguyễn Quang Dũng,"Hoài Linh, Chi Tai, Trish Le",Việt Nam,2017,7.0,96,P,"Drama, Family",release,Low,4
126,Dân Chơi Không Sợ Con Rơi,D048,Huỳnh Đông,"Lam Vy Da, Ngo Kien Huy, Tien Luat",Việt Nam,2022,6.1,116,T13,"Comedy, Drama",release,Low,5
127,Thiên Tài Hạng Bét,D141,Thu Ha,"Pham The Bang, Nguyen Tien Hai, Nguyen Thai Khang",Việt Nam,2023,6.8,30,Not rated,"Comedy, Romance, TV Series",release,Low,3
128,Mưa Trên Cánh Bướm,D024,Dương Diệu Linh,"Nguyen Nam Linh, Le Vu Long, Bui Thac Phong",Việt Nam,2024,6.4,134,T18,"Comedy, Drama, Fantasy",release,Low,8
129,Lời Nguyền Gia Tộc,D027,Đặng Thái Huyền,"Phi Huyen Trang, Tuan Tran, Minh Chau",Việt Nam,2017,7.2,68,Not rated,Horror,release,Low,3
130,Công Tử Bạc Liêu,D085,Lý Minh Thắng,Song Luan,Việt Nam,2024,5.9,19,T13,Comedy,release,Low,5
131,Tấm Cám: Chuyện chưa kể,D093,Ngô Thanh Vân,"Ha Vi, Ninh Duong Lan Ngoc, Veronica Ngo, Isaac, Thanh Loc,…",Việt Nam,2016,5.4,423,P,"Action, Drama, Fantasy, Romance",release,Low,4
132,B4S: Trước Giờ Yêu,D160,Tùng Leo,"Nguyen Le Viet Hung, Khazsak, Ton Kinh Lam, Tung, Khanh Van, Jun Vu",Việt Nam,2024,5.5,67,T18,"Comedy, Romance",release,Low,8
133,Cô Gái Từ Quá Khứ,D008,Bảo Nhân,"Ninh Duong Lan Ngoc, Kaity Nguyen, Lanh Thanh",Việt Nam,2022,5.7,95,T18,"Drama, Thiller",release,Low,8
135,Lật Mặt,D084,Lý Hải,"Tiết Cương, Trường Giang, Lý Hải",Việt Nam,2015,4.9,111,T13,"Action, Comedy",release,Low,5
136,Mười,D137,Tae-kyeong Kim,"Jo An, Hong-Anh, Yong-tae Kim, Dong-yeob Ko, Binh Minh, Hye-ji Oh, Lim Seong-eon, Hong So-hee, Anh Thu, Cha Ye-ryun,","Việt Nam, Hàn quốc",2007,5.7,1200,T16,"Drama, History, Horror, Mystery, Thriller",release,Low,6
137,Scandal: Bí Mật Thảm Đỏ,D162,Victor Vũ,"Vân Trang, Maya, Khương Ngọc",Việt Nam,2012,7.1,227,T16,"Drama, Mystery, Thriller",release,Low,6
138,Người Cần Quên Phải Nhớ,D036,Đức Thịnh,"Hoang Yen Chibi, Thai Hoa, Tran Ngoc Vang",Việt Nam,2020,5.4,24,T16,Romance,release,Low,6
140,Mùa Ổi,D026,Đặng Nhật Minh,"Bài Bình Bùi, Lan Hương Nguyễn, Thu Thủy Phạm","Việt Nam, Pháp",2000,7.2,170,T18,Drama,release,Low,8
141,Nắng,D035,Đồng Đăng Giao,"Hoài Linh, Ninh Duong Lan Ngoc, Trang Thu, Tien Luat, Kieu Minh Tuan, Kim Thu, Tran Thanh",Việt Nam,2016,6.9,113,Not rated,Drama,release,Low,3
142,Cái Giá Của Hạnh Phúc,D066,Lâm Nguyên,"Uyên An, Hữu Châu , Thái Hòa",Việt Nam,2024,6.3,31,T18,Drama,release,Low,8
143,VU QUY ĐẠI NÁO,D078,Lê Thiện Viễn,"Ngọc Trinh, Diệu Nhi, La Thành, Hồ Vĩnh Anh, Việt Hương, Chí Tài, Phi Phụng, Lê Giang, Tiết Cương, Huỳnh Lập, Quang Trung...",Việt Nam,2019,5.7,72,T13,"Family, Comedy, Romance",release,Low,5
144,Chị Mười Ba - Phần Kết Thập Tam Muội,D062,Khương Ngọc,"Hứa Minh Đạt, Tiến Luật, Khương Ngọc",Việt Nam,2019,6.4,60,T18,"Action, Comedy",release,Low,8
145,Gái già lắm chiêu 3,D089,Nam Cito,Ninh Dương Lan Ngọc; Lê Khanh; Hồng Vân; Lê Xuân Tiền; Jun Vũ; Bình An; Thùy Anh,Việt Nam,2020,4.5,173,T16,"Family, Romance, Comedy, Drama",release,Low,6
146,Kfc,D071,Lê Bình Giang,"Tạ Quang Chiến, Hoa Anh Thảo Trâm, Hoàng Bá Sơn",Việt Nam,2016,4.4,202,Not rated,Horror,release,Low,3
147,Quả Tim Máu,D162,Victor Vũ,"Hoàng Bách, Thái Hòa, Nhã Phương",Việt Nam,2014,6.7,443,T16,"Horror, Thriller",release,Low,6
149,Chơi Vơi,D011,Bùi Thạc Chuyên,"Đỗ Thị Hải Yến, Linh Đan Phạm, Duy Khoa Nguyễn",Việt Nam,2009,6.3,344,T16,Drama,release,Low,6
150,Sắc đẹp ngàn cân,D053,James Ngô,"Minh Hằng, Phương Trinh Jolie, Rocker Nguyễn, NSƯT Hữu Châu, NSƯT Đại Nghĩa",Việt Nam,2017,4.6,532,T13,"Comedy, Romance",release,Low,5
151,Mỹ Nhân Kế,D108,Nguyễn Quang Dũng,"Kim Dũng, Tăng Thanh Hà, Thanh Hằng",Việt Nam,2013,5.4,328,Not rated,"Action, Adventure, Drama",release,Low,3
152,Gái Già Lắm Chiêu 2,D089,Nam Cito,"Ninh Duong Lan Ngoc, Le Xuan Tien",Việt Nam,2018,5.1,142,T16,"Comedy, Romance",release,Low,6
153,Điên Tối,D051,Jack Carry On,"Vũ Phan Anh, Yu Dương, Liên Bỉnh Phát",Việt Nam,2021,5.2,14,T13,"Action, Fantasy, Thriller",release,Low,5
154,Đóa Hoa Mong Manh,D086,Mai Thu Huyền,"Mai Thu Huyền, Maya, Quốc Cường",Việt Nam,2024,7.0,1600,T16,"Drama, Music, Romance",release,Low,6
155,Nhắm Mắt Thấy Mùa Hè,D014,Cao Thúy Nhi,"Phương Anh Đào, Lương Hoàng Phan, Đỗ Hoa Trà",Việt Nam,2018,6.6,249,P,"Drama, Romance",release,Low,4
156,Đảo Của Dân Ngụ Cư,D095,Hồng Anh,"Hoàng Phúc Nguyên, Ngọc Hiệp Nguyễn, Phạm Hồng Phước",Việt Nam,2017,5.7,151,Not rated,"Drama, Romance",release,Low,3
157,Mười: Lời Nguyền Trở Lại,D041,Hằng Trịnh,"Hong Anh, Binh Minh",Việt Nam,2022,4.6,195,T16,"Horror, Mystery, Drama",release,Low,6
158,Mùa Len Trâu,D115,Nguyễn Võ Nghiêm Minh,"Lữ Lệ, Thi Kieu Trinh Nguyen, Hữu Thành Nguyễn",Việt Nam,2004,6.9,636,T16,Drama,release,Low,6
159,Cậu Chủ Ma Cà Rồng,D148,Trần Nhân Kiên,"Truong Minh Thao, Vo Dang Duy Luan, Yeye Nhat Ha",Việt Nam,2019,3.9,16,T16,"Drama, Fantasy",release,Low,6
160,Khát Vọng Thăng Long,D083,Lưu Trọng Ninh,"Kinh Long Thach, My Uyen Ngo, Quach Ngoc Ngoan",Việt Nam,2010,7.2,26,Not rated,"Action, Drama",release,Low,3
164,Bao Giờ Hết Ế,D113,Nguyễn Thanh Bình,"Thanh Hang, Dam Phuong Linh, Anh Tu",Việt Nam,2018,4.8,5,T16,"Comedy, Romance",release,Low,6
165,"Bi, Đừng Sợ!",D126,Phan Đăng Di,"Thanh Minh Phan, Thi Kieu Trinh Nguyen, Ha Phong Nguyen",Việt Nam,2010,6.6,423,Not rated,Drama,release,Low,3
167,Chìa Khóa Trăm Tỷ,D164,Võ Thanh Hòa,"Kieu Minh Tuan, Trang Thu, Jun Vu",Việt Nam,2022,6.6,70,T16,"Action, Comedy",release,Low,6
168,Cua Lại Vợ Bầu,D116,Nhất Trung,"Tran Thanh, Ninh Duong Lan Ngoc, Anh Tu",Việt Nam,2019,5.8,271,T16,"Comedy, Family, Romance",release,Low,6
